Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
4,,,BC,BC,Late Predynastic,Hou,Male,195,193,138,136,116,,99,89,66,50,26,90,77.5,A,1560
4,,,BC,BC,Late Predynastic,Hou,Male,174,172,133,128,,,,,,53,26,,,,1260
4,,,BC,BC,Late Predynastic,Hou,Male,188,186,127,126,112,122,100,96,69,54,22,96,72,B C,1280
4,,,BC,BC,Late Predynastic,Hou,Male,196,194,135,143,122,133,102,99,76,53,27,97,69.5,B,1610
4,,,BC,BC,Late Predynastic,Hou,Male,187,187,132,124,105,113,98,93,72,52,23,95,71.5,A B,1300
4,,,BC,BC,Late Predynastic,Hou,Male,174,173,130,136,108,117,98,103,72,50,22,105,65,D E,1310
4,,,BC,BC,Late Predynastic,Hou,Male,191,189,131,142,122,134,97,106,71,49,26,109,62.5,F G,1510
4,,,BC,BC,Late Predynastic,Hou,Male,175,171,130,126,116,130,104,98,57?,48,28,94,78.5,C,1220
4,,,BC,BC,Late Predynastic,Hou,Male,184,182,131,137,114,129,,,,44,25,,,,1400
4,,,BC,BC,Late Predynastic,Hou,Male,191,186,137,136,124,132,102,102,69,50,27,100,70,C D,1510
4,,,BC,BC,Late Predynastic,Hou,Male,187,185,138,136,122,132,104,100,66,51,24,96,74,B C,1495
4,,,BC,BC,Late Predynastic,Hou,Male,188,185,136,141,123,,106,101,80,55,25,95,70,A,1535
4,,,BC,BC,Late Predynastic,Hou,Male,186,186,135,131,111,115?,96,89,68,50,23,96,73.5,A B,1400
4,,,BC,BC,Late Predynastic,Hou,Male,184,182,142,129,117,,104,102,66,48,24,98,72.5,D,1435
4,,,BC,BC,Late Predynastic,Hou,Male,175,173,131,134,121,129,100,95,69,52,23,95,72.5,A B,1305
4,,,BC,BC,Late Predynastic,Hou,Male,192,191,135,135,119,133,102,103,72,49,29,101,68.5,D,1490
4,,,BC,BC,Late Predynastic,Hou,Male,188,185,136,142,122,131,105,100,76,54,26,95,72,A B,1545
4,,,BC,BC,Late Predynastic,Hou,Male,182,181,,125,107,120,98,101,67,48,27,103,67.5,E F,
4,,,BC,BC,Late Predynastic,Hou,Male,185,182,,135,119,133,,,,53,25,,,,
4,,,BC,BC,Late Predynastic,Hou,Male,182,179,126,131,,,102,95,69,49,20,93,74.5,A B,1280
4,,,BC,BC,Late Predynastic,Hou,Male,190,190,134,142,127,137,103,91,74,56,29,88,76,- A,1540
4,,,BC,BC,Late Predynastic,Hou,Male,184,181,131,121,105,124,102,99,67,49,26,97,72.5,C,1240
4,,,BC,BC,Late Predynastic,Hou,Male,191,190,139,144,127,136,105,105,76,57,31,100,68.5,C,1625
4,,,BC,BC,Late Predynastic,Hou,Male,189,187,138,128,118,128,103,100,71,49,26,97,71.5,B C,1420
4,,,BC,BC,Late Predynastic,Hou,Male,188,187,135,133,113,127,102,94,72,54,26,92,74,A,1435
4,,,BC,BC,Late Predynastic,Hou,Male,183,181,135,134,114,123,101,101,67,48,25,100,70,C D,1410
4,,,BC,BC,Late Predynastic,Hou,Male,194,192,136,135,122,137,107,107,80,58,29,100,68,C,1515
4,,,BC,BC,Late Predynastic,Hou,Male,199,198,143,141,117,132,106,99,75,56,26,93,73.5,A B,1710
4,,,BC,BC,Late Predynastic,Hou,Male,185,183,125,135,123,137,103,101,68,51,28,98,71.5,C D,1325
4,,,BC,BC,Late Predynastic,Hou,Male,190,188,138,143,122,,,,,,,,,,1600
4,,,BC,BC,Late Predynastic,Hou,Male,180,179,136,142,122,131,102,93,71,52,24,91,75,A,1480
4,,,BC,BC,Late Predynastic,Hou,Male,179,177,126,127,,,,,,,,,,,1220
4,,,BC,BC,Late Predynastic,Hou,Male,191,189,,139,,,,,,50,25,,,,
4,,,BC,BC,Late Predynastic,Hou,Male,173,172,126,,,,94,90,66,49,26,96,72,B C,
4,,,BC,BC,Late Predynastic,Hou,Male,184,183,133,131,116,127,94,95,70,51,27,101,67,C D,1365
4,,,BC,BC,Late Predynastic,Hou,Male,181,180,,131,,,,,,,,,,,
4,,,BC,BC,Late Predynastic,Hou,Male,193,190,142,143,122,133,105,100,74,55,29,95,72,A B,1670
4,,,BC,BC,Late Predynastic,Hou,Male,173,171,132,130,117,128,99,95,71,53,27,96,71,B,1260
4,,,BC,BC,Late Predynastic,Hou,Male,185,184,,131,,,,,,,,,,,
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,189,185,135,130,113,,99,93,72,53,24,94,72,A,1410
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,181,181,138,136,120,134,,,,,,,,,1445
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,188,188,135,133,124,,,,,,,,,,1440
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,176,175,136,132,121,131,100,99,65,44,27,99,69,C,1340
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,184,182,,127,,,,,,,,,,,
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,183,180,138,133,117,129,102,98,68,49,27,96,72.5,B C,1460
4,-4800,-4500,BC,BC,First Dynasty,Abydos,Male,178,177,135,126,114,131,95,93,71,51,24,98,69,B C,1290
