Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,184,184,137,135.5,123.5,129,102.5,94,73,56,26,92,74,A,1450
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,180.5,180.5,126,128,105,110,93,84,61,47,23,90,78,A,1235
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,186,186,127,136,125,129,97,87,69,51,20,90,76,- A,1370
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,169,169,131,131.5,121,126,98,90,67,48.5,25,92,75.5,A,1235
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,170.5,170.5,126,129,117,122,99,94,64,46,26,95,74.5,B C,1175
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,174,174,125,135,118,124,95,92,74,52,25,97,68.5,A B,1250
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,167,167,123,129,107,117,91,85,66,50,20,93,72.5,A,1130
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,184,182,124,133,120,131,96,95,65?,52.5,29,99,70?,,1290
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,171,171,125,136,119,125,99.5,95,66,50?,25,96,73,B C,1240
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,181,181,130,132.5,110,113,99,92,65.5,46,23.5,93,75.5,A B,1320
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,170.5,170.5,122,,107,116,96,,66?,44?,27,,,,
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,172,172,116,135,113.5,123,91,87,66?,49.5,28,96,71?,,1150
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,180,179,127.5,133,113,120,97,85,69?,51,26,88,77?,,1290
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,181,181,129,140,120,130,97,92,65,49,27,95,74,B,1390
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,171,171,120,130,119,124,98,95,64,47?,29,97,72.5,C,1135
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,185,183,134,138,115,,104,96.5,74,54,25.5,93,74,A B,1455
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,171,169,124,128,114,122,95,89,67,48,26,94,73,A,1155
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,166,165,124,132,113,123??,98,92,66,52,23,94,74.5,A B,1160
31,-331,,BC,Unknown or AD,Ptolemaic Period,Denderah,Female,179,179,129,137,123,129?,98,91,68,50,24,93,74,A B,1345
