Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,190,188,128,147,113,128,98,100,79,56,26,102,65,B C,1520
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,186,184,130,139,119,130?,106,101,88,55,27,95,68,A,1430
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,188,187,129,137,119,126,98,96,67,49,23,98,71,C,1415
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,180,178,135,130,113,125,97,97,82,60,30,100,65,B,1345
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,183,176,130,137,121,132,106,98,68,55,27,93,76.5,B,1385
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,185,184,129,133,122,134,106,106,65,49.5,28,100,72,D E,1350
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,180,179,138,138,112,123,96,90,74,52,22,94,70,A,1460
16,-331,,BC,Unknown or AD,Ptolemaic Period,Abydos,Male,186,183,131,141,,,,,,,,,,,
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,190,187,123,137,116,126,95,91.5,67,50,25,96,71,B,1360
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,187,185,131,136,110,119,99,95,66,49,26,96,73,B C,1415
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,180,174.5,126,128,111,122.5,105,91,70,57,27.5,87,80,- A,1235
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,189,187,134,130,118,130,103,92.5,75.5,52,26,90,74.5,- A,1400
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,179,177,127,138,117,133,97.5,86.5,62,47.5,25.5,89,80,- A,1335
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,189,186,138,126,114,128,110.5,101,68,52,25,91,78.5,A,1400
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,193,188,138,136,115,128,130.5,97,81,58,26,94,70,A,1540
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,171,167.5,126,126,116,124,94,92,65,45,24,98,71,C,1155
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,174,173,132,132,120,131,104,99,73,55,22,95,72,A B,1290
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183.5,182,135,139,118,122,98,92,74,54,25,94,71,A,1460
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183,181,120,143,118,126,100,95?,70.5,51,23,95,72,,1340
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,181,180,136,141.5,120,128,100,101,72,54,28,101,68,C D,1475
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,184,181,135,135,118,130,106,95,73.5,56,26,90,76.5,A,1425
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,190,187,134,137.5,121,130,102,93,72,53,24,91,75,A,1485
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,182,181,135,142,109,120,102,96,73,52,24,94,72.5,A,1485
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,184,184,134.5,139,118,123,100,95,67,47.5,25.5,95,73,B,1460
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,182,181,125,138,120,130,100,99,72,51,27,99,69,C,1330
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,192,190,135,137,118,132.5,107,96?,66?,54,27,90,80?,,1510
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,187,186,125,133,114,119,99,92,65,50,22,93,76,A B,1320
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,172,172,129,145,123,126,94,89,67,47,24.5,95,72,A B,1370
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,176,175,136,138,117,,99,92,64,46,25,93,76,A B,1400
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,184,183,129,131,115,125,100,97,64,44,38,97,73,B C,1320
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,169,166,126,143,118,125,92,88,80,54,22,96,66,A,1295
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,177,175,124,134,117,127,99,91,72,55,27,92,73.5,- A,1250
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,179,176,127,132,117.5,124,99,97,72,52,27,98,69.5,B C,1275
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,181,176,125,137,120,125,94,85,72,57,26,90,72.5,- A,1315
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183,182,131,132,113,124?,97,92?,69?,,,95,,,1345
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,174,173,128,129,116,128,91,81,70,52.5,23,89,73.5,- A,1220
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,190,189,135,140.5,109,,105,103,66,48,26,98,73,D,1530
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,176,174,129,147.5,125,134,95,87,67,48,26.5,92,74.5,A,1420
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,177,174,133,136,,,99,97,68,51,23,98,71,C,1360
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183,181,133,145,115,127,103,102,69,49,24,99,70.5,C D,1500
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183,183,138,141,126,140,108,99,72,50,25,92,76,A,1510
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183,180,126,149,119,129,93,96?,78,55,27,,,,1460
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,178,175,128,138,120,132,93,92,72,,,99,67.5,B,1335
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,192,188,130,138,120,128.5,104,96,66,47,28,92,77,A,1465
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,167,166,128,132,110,122,91.5,87,69,50,23,95,70,A,1200
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,171,170,132,132,120,124,97,88,67,51,25,91,76,A,1270
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,191,189,136,140,116,127.5,101,100,81,53.5,27,99,66.5,B,1550
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,180,178,128,140,,,102,102,69,53,23,100,70,C D,1370
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,187,183,125,127,123,131,104,95,69,52,25,91,76.5,A,1260
16,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,184,181,131,133,111,125,99,98,71,48,26,99,69,C,1360
