Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,170,170,130,136,112,119,91,83,64,46,23,91,75,A,1280
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,181,181,131,127,111,119,99,99,63,45,22,100,70.5,D,1280
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,174,174,129,127,107,116,93,90,72,50,23,97,68,A B,1210
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,165,165,122,126,107,119,96,95,64,47,27,99,71,D,1080
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,181,181,134,132,109,121,98,96,69,46,23,98,70,C,1360
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,174,174,126,130,105,116,94,87,62,48,24,93,74.5,A B,1210
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,175,175,128,125,113,116,,,72,56,26,,,,1190
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,169,169,130,129,114,,95,89,69,50,23,94,72,A,1205
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,166,166,125,130,115,117,96,94,64,47,25,98,71.5,C D,1145
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,176,176,138,119,107,112,101,93?,62,46,23,92,,,1230
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,179,179,127,129,109,120,96,95,65,43,26,99,70,C D,
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,173,173,128,135,111,117,93,95,63,47,25,102,68,D E,1270
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,179,177,128,129,117,124,98,89,65,48,26,91,76.5,A,1255
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,181,181,122,120,112,121,99,95,66,48,22,96,73,B C,1125
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,181,180,138,135,111,119,101,89,64,50,23,88,80,- A,1435
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,172,171,127,127,108,117,97,88,64,47,29,91,77,A,1180
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,174,173,122,129,110,120,94,97,67,49,24,103,66,D E,1165
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,176,174,124?,130,109,119,95,91,66,49,22,96,72,B C,
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,175,175,117,136,113,121,90,85,65,51,25,94,72,A,1185
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,177,175,123,136,106,114,92,90,67,49,22,98,69,B C,1260
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,172,172,134,140,109,112,98,90,63,49,23,92,76,A,1375
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,185,185,131,129,117,124,98,90,64?,49,27,92,,,1330
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,185,185,128,137,121,129,100,97,71?,51,27,97,,,1375
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,175,174,130,134,116,125,98?,94,73,53,25,96,,,1295
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,167,167,128,133,117,126,95,88,62,47,21,93,76,A B,1210
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,178,177,132,136,114,120,100,87,66,46,26,87,80,- A,1360
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,179,179,134,134,118,124,99,92,63,45,24,93,76.5,B,1365
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,179,178,125,125,108,117,97,87,65,50,24,89,77,- A,1190
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,174,174,132,130,116,121,94,81,64,48,22,86,79.5,- A,1270
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,178,178,123,130,109,113,86,86,63,46,22,100,67.5,B C,1210
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,171,171,123,123,108,118,88,86,65,46,26,98,69,B C,1100
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,168,167,130,132,101,110,89,92,61,42,24,103,66.5,D E,1225
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,183,183,140,136,108,118,98,91,64,48,22,93,75,A B,1480
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,183,183,128,137,113,120?,101,98,70,49,28,97,71,B C,1365
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,183,182,127,136,114,117,102,96,66,49,26,94,74,A B,1345
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,171,170,125,136,111,118,96,98,67,51,23,102,67,D E,1240
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,179,179,132,138,123,128,99,98,71,51,26,99,69,C,1385
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,179,179,129,134,,121,92,84,73,48,24,91,70.5,- A,1315
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,170,170,129,125,108,119,90,85,73,51,26,94,69,- A,1165
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,180,179,124,136,112,120,93,92,66,49,23,99,69.5,C,1290
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,176,175,128,137,110,118,92,92,65,45,23,100,69.5,C D,1315
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,177,177,125,148,,,,,,,,,,,1390
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Shekh Ali,Female,178,178,123,127,110,121,98,99,68,52,23,101,68.5,D,1180
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,182,181,119,134,111,116,95,90,63,48,24,95,73,B,1235
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,170,170,127,138,103,110,86,82,63,47,23,95,71,A B,1235
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,180,180,,128,109,116,,,58,43,24,,,,
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,178,176,123,136,115,122,94,92,67,48,27,98,70,C,1265
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,167,167,122,126,105,112,89,93,68,47,24,104,65,D,1265
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,173,129,127,111,,97,91,69,49,26,94,72.5,A,1220
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,179,178,126,138,109,116,,,,47,25,,,,1325
28,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,173,173,129,132,107,121,94,87,66,48,22,93,74,A B,1250
