Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
20,,,BC,BC,Late Predynastic,Hou,Female,170,169,129,135,118,126,98,94,70,51,27,96,71.5,B,1260
20,,,BC,BC,Late Predynastic,Hou,Female,179?,179?,134,126,109,123,99,99,66,50,24,100,70,C D,1290
20,,,BC,BC,Late Predynastic,Hou,Female,177,176,128,132,108,120,96,94,63,48,26,98,72,C D,1270
20,,,BC,BC,Late Predynastic,Hou,Female,177,177,126,132,110,118,95,101,66,48,27,106,65,F,1250
20,,,BC,BC,Late Predynastic,Hou,Female,170,170,129,126,111,121,97,96,68,50,23,99,69.5,C,1175
20,,,BC,BC,Late Predynastic,Hou,Female,177,176,125,128,110,,100,94,69,48,26,94,73,A,1200
20,,,BC,BC,Late Predynastic,Hou,Female,180,180,128,132,112,123,102,95,66,48,29,93,76,A B,1295
20,,,BC,BC,Late Predynastic,Hou,Female,171,170,124,132,116,125,98,103,66,45,24,105,66.5,E F,1190
20,,,BC,BC,Late Predynastic,Hou,Female,171,171,126,133,114,119,97,96,70,48,26,99,69,C,1220
20,,,BC,BC,Late Predynastic,Hou,Female,182,182,126,138,121,126,101,96,71,51,24,95,72,A B,1345
20,,,BC,BC,Late Predynastic,Hou,Female,179,178,127,127,113,,98,98,71,51,26,100,68.5,C,1230
20,,,BC,BC,Late Predynastic,Hou,Female,170,169,129,133,104,116,96,92,69,48,23,96,71,B,1240
20,,,BC,BC,Late Predynastic,Hou,Female,177,177,132,130,114,122,96,96,63,45,24,100,70,C D,1290
20,,,BC,BC,Late Predynastic,Hou,Female,181,181,134,129,102,113,96,98,70,48,26,102,67,D E,1330
20,,,BC,BC,Late Predynastic,Hou,Female,180,180,129,135,108,117,90,87,65,47,23,97,70.5,B C,1330
20,,,BC,BC,Late Predynastic,Hou,Female,174,174,131,131,114,122,98,97,67,48,23,99,70,C D,1270
20,,,BC,BC,Late Predynastic,Hou,Female,182,182,130,133,116,124,94,89,64,46,24,95,73,B,1340
20,,,BC,BC,Late Predynastic,Hou,Female,176,176,133,133,112,122,100,97,67,49,24,97,72,B C,1325
20,,,BC,BC,Late Predynastic,Hou,Female,179,179,131,125,108,117,101,93,62,46,22,92,77.5,A,1250
20,,,BC,BC,Late Predynastic,Hou,Female,176,175,130,137,119,123,95,95,61,44,26,100,70.5,D,1330
20,,,BC,BC,Late Predynastic,Hou,Female,173,172,129,129,110,118,99,95,66,45,22,96,73,B C,1225
20,,,BC,BC,Late Predynastic,Hou,Female,176,176,130,131,107,120,93,95,65,44,27,102,68,D E,1275
20,,,BC,BC,Late Predynastic,Hou,Female,180,180,129,124,110,118,99,99,72,52,26,100,68,C,1230
20,,,BC,BC,Late Predynastic,Hou,Female,172,172,124,131,109,122,,,,,,,,,1190
20,,,BC,BC,Late Predynastic,Hou,Female,175,175,128,129,113,121,95,90,69,48,27,95,71.5,A B,1230
20,,,BC,BC,Late Predynastic,Hou,Female,172,172,119,132,115,,92,89,60,45,24,97,72.5,C,1145
20,,,BC,BC,Late Predynastic,Hou,Female,173,173,123,127,108,118,96,93,65,47,24,97,72,B C,1145
20,,,BC,BC,Late Predynastic,Hou,Female,179,178,126,131,110,122,94,96,66,47,25,102,68,D E,1260
20,,,BC,BC,Late Predynastic,Hou,Female,170,170,123,124,108,117,,,,46,23,,,,1100
20,,,BC,BC,Late Predynastic,Hou,Female,174,174,125,129,,,94,88,64,48,23,94,74,A B,1190
20,,,BC,BC,Late Predynastic,Hou,Female,181,180,125,134,116,120,93,94,67,48,22,101,68,D,1290
20,,,BC,BC,Late Predynastic,Hou,Female,175,174,129,126,109,121,103,95,66,50,25,92,77,A,1210
20,,,BC,BC,Late Predynastic,Hou,Female,177,176,133,128,114,123,102,98,68,48,24,96,73,B C,1280
20,,,BC,BC,Late Predynastic,Hou,Female,176,171,123,122,108,124,100,99,65,46,24,99,71,D,1120
20,,,BC,BC,Late Predynastic,Hou,Female,177,176,131,125,,,91,100,70,54,23,110,61?,,1230
20,,,BC,BC,Late Predynastic,Hou,Female,186,185,127,131,119,,103,100,67,49,26,97,72.5,C,1315
20,,,BC,BC,Late Predynastic,Hou,Female,181,181,129,135,114,118,101,96,69,47,22,95,73,B,1340
20,,,BC,BC,Late Predynastic,Hou,Female,179,178,130,131,116,126,96,86,63,45,24,90,78,A,1300
20,,,BC,BC,Late Predynastic,Hou,Female,171,170,120,129,113,119,88,85,66,47,23,97,69.5,B,1120
20,,,BC,BC,Late Predynastic,Hou,Female,177,176,121,130,115,121,99,99,73,51,26,100,68,C,1185
20,,,BC,BC,Late Predynastic,Hou,Female,179,179,131,135,111,119,95,90,67,46,26,95,72,A B,1345
20,,,BC,BC,Late Predynastic,Hou,Female,169,169,126,125,108,118,99,95,67,50,23,96,72.5,B C,1130
20,,,BC,BC,Late Predynastic,Hou,Female,169,169,129,137,106,118,94,98,62,46,27,104,67,E F,1270
20,,,BC,BC,Late Predynastic,Hou,Female,177,177,128,136,109,116,93,88,70,51,23,95,70.5,A,1310
20,,,BC,BC,Late Predynastic,Hou,Female,189,189,132,138,116,126,99,95,67,50,25,96,72.5?,,1465
20,,,BC,BC,Late Predynastic,Hou,Female,178,178,126,129,114,125,98,99,62,49,25,101,70,D E,1230
20,,,BC,BC,Late Predynastic,Hou,Female,184,182,128,137,111,122,98,97,68,54,26,99,70,C D,1380
20,,,BC,BC,Late Predynastic,Hou,Female,172,172,129,135,118,129,96,90,72,51,28,94,71,A,1270
20,,,BC,BC,Late Predynastic,Hou,Female,184,184,124,128,111,124,95,91,66,44,27,96,72,B C,1240
20,,,BC,BC,Late Predynastic,Hou,Female,178,177,124,130,110,,94,92,69,50,25,98,69,B C,1220
20,,,BC,BC,Late Predynastic,Hou,Female,173,172,126,127,109,118,95,91,71,51,23,96,70,A B,1180
20,,,BC,BC,Late Predynastic,Hou,Female,173,172,122,125,115,,97,94,66,45,23,97,72,B C,1120
20,,,BC,BC,Late Predynastic,Hou,Female,175,175,129,132,119,126,96,95,67,49,27,99,69.5,C,1270
