Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
18,,,BC,BC,Early Predynastic,Hou,Female,176,176,130,138,114,,95,97,65,45,24,102,68.5,D E,1345
18,,,BC,BC,Early Predynastic,Hou,Female,174,174,127,128,111,121,95,93,62,45,23,98,71.5,C D,1205
18,,,BC,BC,Early Predynastic,Hou,Female,167,167,125,126,115,124,86?,94,66?,45?,25,109,61.5,,1120
18,,,BC,BC,Early Predynastic,Hou,Female,179,179,131,136,107,116,97,91,65,48,24,94,74,A B,1355
18,,,BC,BC,Early Predynastic,Hou,Female,177,177,132,133,113,120,97,91,62,45,23,94,76,B,1320
18,,,BC,BC,Early Predynastic,Hou,Female,172,172,132,126,111,120,96,91,67?,48,25,95,72.5,,1220
18,,,BC,BC,Early Predynastic,Hou,Female,180,180,134,134,114,124,105,101,65,47,23,96,75,C,1375
18,,,BC,BC,Early Predynastic,Hou,Female,180,180,131,136,116,129,100,96,71,53,30,96,71,B,1365
18,,,BC,BC,Early Predynastic,Hou,Female,182,181,137,137,125,135,102,97,68,50,30,95,74,B,1450
18,,,BC,BC,Early Predynastic,Hou,Female,170,170,121,132,,,,,,,,,,,1155
18,,,BC,BC,Early Predynastic,Hou,Female,171,171,127,133,112,116,96,86,64,47,25,90,78,A,1230
18,,,BC,BC,Early Predynastic,Hou,Female,168,166,129,129,109,119,97,99,63,45,25,102,69,E,1190
18,,,BC,BC,Early Predynastic,Hou,Female,178,178,131,129,117,123,99,92,72,51,24,93,73,A,1280
18,,,BC,BC,Early Predynastic,Hou,Female,176,176,129,129,113,124,101,96,74,52,24,95,71.5,A B,1245
18,,,BC,BC,Early Predynastic,Hou,Female,180,179,121,127,107,117,96,93,70,49,24,97,70,B,1180
18,,,BC,BC,Early Predynastic,Hou,Female,175,175,127,141,110,119,91,93,70,46,24,102,66,C,1330
18,,,BC,BC,Early Predynastic,Hou,Female,175,174,129,126,111,119,96,95,72,51,25,99,68,B C,1210
18,,,BC,BC,Early Predynastic,Hou,Female,184,183,,133,112,125,,,,,,,,,
18,,,BC,BC,Early Predynastic,Hou,Female,179,179,130,138,113,122,98,100,65,50,23,102,69,E,1370
18,,,BC,BC,Early Predynastic,Hou,Female,169,167,125,124,110,117,100,102,60,47,24,102,70.5,E F,1115
18,,,BC,BC,Early Predynastic,Hou,Female,173,173,133,135,112,120,96,91,69,49,25,95,72,A B,1320
18,,,BC,BC,Early Predynastic,Hou,Female,170,169,125,126,109,121,97,90,72,50,23,93,72,A,1140
18,,,BC,BC,Early Predynastic,Hou,Female,184,182,134,128,110,117,103,100,68,47,25,97,72.5,C,1340
18,,,BC,BC,Early Predynastic,Hou,Female,178,177,131,127,,,99,95,68,46,22,96,72,B C,1260
18,,,BC,BC,Early Predynastic,Hou,Female,172,171,127,131,113,124,92,86,71,48,24,93,70.5,A,1220
18,,,BC,BC,Early Predynastic,Hou,Female,164,164,123,124,102,114,99,99,61,46,24,100,71.5,D E,1065
18,,,BC,BC,Late Predynastic,El Amrah,Female,177,177,138,128,,125,101,96,68,48,24,95,73,B,1330
18,,,BC,BC,Late Predynastic,El Amrah,Female,188,188,,136?,,,,,,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,188,188,,118,,,,,,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,176,176,131,124,,117?,98,96,62,47,21,98,72.5,D,1220
18,,,BC,BC,Late Predynastic,El Amrah,Female,180,179,129,123,114,120,100,108,69,46,26,108,64,G,1210
18,,,BC,BC,Late Predynastic,El Amrah,Female,194?,194?,,128,,,,,,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,171,170,124,132,113,119,100,100,69,48,26,100,69,C,1190
18,,,BC,BC,Late Predynastic,El Amrah,Female,187,188,,130,,,,,,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,176,176,126,125,,114,93,85,59,45,24,91,77.5,A,1180
18,,,BC,BC,Late Predynastic,El Amrah,Female,176,175,128,128,121,,96,,,,,,,,1230
18,,,BC,BC,Late Predynastic,El Amrah,Female,182,182,126,126,114,121?,99,98,72,52,28,99,69,C,1230
18,,,BC,BC,Late Predynastic,El Amrah,Female,178,178,130,135,,,97,,,,,,,,1330
18,,,BC,BC,Late Predynastic,El Amrah,Female,178,179,128,129,114,,91,,,,,,,,1250
18,,,BC,BC,Late Predynastic,El Amrah,Female,183,185,143,137,,,102,,,,,,,,1525
18,,,BC,BC,Late Predynastic,El Amrah,Female,,,,,,,,,,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,173,173,,124?,,,,,,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,178,176,124,132,,,,,,,,,,,1240
18,,,BC,BC,Late Predynastic,El Amrah,Female,185,184,,130,,114?,,,69,,,,,,
18,,,BC,BC,Late Predynastic,El Amrah,Female,183,182,135,130,,120,105,98,61,,,93,78,B,1365
18,,,BC,BC,Late Predynastic,El Amrah,Female,177,177,124,134,,118,92,92,62,44,20,100,70.5,D,1250
18,,,BC,BC,Late Predynastic,El Amrah,Female,184.5,184,129,132,,121,98.5,90,,,,101.5,,,1340
18,,,BC,BC,Late Predynastic,El Amrah,Female,176,176,138,125,,,98,98,68,,,100,69.5,C D,1290
18,,,BC,BC,Late Predynastic,El Amrah,Female,181,181,131,132,,125.5,101,101,67,42,27.5,100,70,C D,1330
