Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,178,175.5,141,140,123,131,100,95,70,52,25,95,72,A B,1490
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,198,195,,,,,,,73,57,26?,,,,
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,183,182,136,133,112,121??,99,95,68,52,22,96,72,B C,1410
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,197,197,140,132,112,124,102,89?,59.5?,49,27,,84?,,1550
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,187,185,134,136,117,134,105.5,101,70,52,27,96,73.5,B C,1450
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,184,181,139,134,114.5,127,104,101,74,55,27,97,71,B C,1460
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,181,181,138,132,116,127,103,97,74?,55,29,94,72.5,A,1400
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,183,182,134,137.5,115,128,100,97.5,81,58,24,97.5,66.5,A,1440
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,184,184,136,138,120,125,94,95?,65?,49,32,101,68.5,,1470
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,180,179,123,123,114,120,99,92,69,51.5,28,93,74,A B,1160
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,184,182,135,138,114.5,122,102,100,70,50,25,98,71,C,1460
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,177,176,135,135,114,128,102,94,66?,47,26.5,92,77?,,1370
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,181,179,131.5,134,112,127,103,98,70,50.5,26.5,95,73,B,1350
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,180,180,137,144,,125,98,98,69,51,26,100,69,C,1510
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,189,188,135,135,123,134,109,101,57,53.5,29,93,75,A B,1465
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,186,181.5,139,131,113,126,106,98?,74?,57,26,93,,,1440
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,193,192,138.5,133.5,120,129,107,100,76,56,25.5,94,73,A,1510
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,181,179.5,137.5,129,112,,99.5,98.5,69,49,26,99,70,C D,1360
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,179,177,137.5,136,117,129,100,99,71.5,52,26,99,69,C,1420
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,196,194.5,142,136,122,,111,99?,65.5,51,30,90,,,1610
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,182,179,134,130,115,127,104,101,69.5,54,27,97,72,B C,1345
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,188,186,138,137,117,128,104,103,70,52,26,99,71,D,1510
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,189.5,188.5,137.5,136,116,122.5,103,97,72,49.5,25,94,73,A,1500
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,178,174,142,134,112,125,108.5,101,72,51.5,25,93,75.5,A B,1440
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,185,183,134,129.5,113,125,104,101?,68,54,29,97,73?,,1360
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,187,185,135,134,111,122,104,99,72,52,26,95,73,B,1440
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,186,186,143,141,115.5,128,105,102,70,53,25.5,97,72.5,C,1595
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,178,176,136,136,119,125,98,94,57,46,25,96,76,C D,1400
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,176,175,133,125.5,113,126?,99,100,65,47,24,101,69.5,D E,1245
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,190,191,140,139,111,122,100,93,72,52,25,93,73,A,1575
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,186,185,128,137,111,115,99,99.5,73,51,26,101,68,D,1390
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,186,186,137.5,136,120,127,104,103,73,52,26,99,70,C D,1470
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,199,196,145,140,118,,108,98,79.5,55,26,91,74,A,1720
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,173,173,133,130,112,122,95,91,70,51.5,26,96,70.5,B,1270
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,181,180,131,129,,,104,98,72,51,27,94,73.5,A B,1300
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,181,180,135,127,115,127,106,103,75,56,27,97,71,B C,1320
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,175,171,132,137,113,127.5,99,98,67,49,26,99,70,C D,1345
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,190,189,142,142,113,127,105,98,78,53.5,27.5,93,72,A,1630
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,176,175,132,135,116,129,99,91,62?,51,25.5,92,78?,,1330
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,176,174,137,136,113,,,,,,,,,,1395
9,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Male,191,190,134,126,114,125,100.5,99.5,78,55,26,99,67,B,1370
