Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
19,,,BC,BC,Late Predynastic,El Amrah,Female,183,183,129.5,133,,128,100,92,70,52,25.5,92,74.5,A,1340
19,,,BC,BC,Late Predynastic,El Amrah,Female,179,179,132,130,,126,102,103,65,46.5,27,101,70,D E,1310
19,,,BC,BC,Late Predynastic,El Amrah,Female,182,179,,133,,,,,,,,,,,
19,,,BC,BC,Late Predynastic,Hou,Female,177,176,130,138,112,117,93,91,68,45,25,98,69,B C,1350
19,,,BC,BC,Late Predynastic,Hou,Female,179,179,134,131,112,119,99,95,58,44,23,96,76,C D,1340
19,,,BC,BC,Late Predynastic,Hou,Female,173,170,124,132,108,114,95,95,64,51,25,100,70,C D,1200
19,,,BC,BC,Late Predynastic,Hou,Female,177,177,131,135,113,124,94,96,65,45,28,102,68,D E,1330
19,,,BC,BC,Late Predynastic,Hou,Female,175,175,132,139,116,121,92,92,67,48,25,100,68,C,1365
19,,,BC,BC,Late Predynastic,Hou,Female,169,169,126,130,107,115,95,90,63,50,23,95,74,B,1190
19,,,BC,BC,Late Predynastic,Hou,Female,179,179,129,137,115,,,,,,,,,,1350
19,,,BC,BC,Late Predynastic,Hou,Female,178,177,131,128,112,122,103,103,70,47,24,100,70,C D,1265
19,,,BC,BC,Late Predynastic,Hou,Female,172,172,118,131,111,,93,89,68,49,22,96,71,B,1130
19,,,BC,BC,Late Predynastic,Hou,Female,170,170,126,124,109,120,96,93,64,46,24,97,72,B C,1130
19,,,BC,BC,Late Predynastic,Hou,Female,176,175,122,125,112,119,88,89,61,45,21,101,68.5,D,1140
19,,,BC,BC,Late Predynastic,Hou,Female,176,176,135,128,110,121,99,94?,65,46,24,95,74?,,1290
19,,,BC,BC,Late Predynastic,Hou,Female,180,179,129,135,112,117,101,93,67,48,24,92,76,A,1330
19,,,BC,BC,Late Predynastic,Hou,Female,177,177,126,127,,,97,100,69,50,25,103,67,E,1205
19,,,BC,BC,Late Predynastic,Hou,Female,173,173,126,126,111,117?,91,87,72,51,24,96,68.5,A B,1170
19,,,BC,BC,Late Predynastic,Hou,Female,177,177,132,132,104,115,95,99,71,50,25,104,65,D,1315
19,,,BC,BC,Late Predynastic,Hou,Female,171,171,122,135,,,,,,,,,,,1200
19,,,BC,BC,Late Predynastic,Hou,Female,171,171,134,127,115,,101,97,63,47,25,96,74.5,C,1240
19,,,BC,BC,Late Predynastic,Hou,Female,183,182,130,133,114,119,95,99,72,48,28,104,65,D,1350
19,,,BC,BC,Late Predynastic,Hou,Female,182,182,128,139,108,113,90?,90,64,46?,25,100,68.5,,1380
19,,,BC,BC,Late Predynastic,Hou,Female,173,173,134,120,109,122,102,96,73,53,23,94,72.5,A,1180
19,,,BC,BC,Late Predynastic,Hou,Female,168,168,119,128,113,,89,87,67,47,23,98,69,B C,1090
19,,,BC,BC,Late Predynastic,Hou,Female,191,190,137,128,,,,,,,,,,,1420
19,,,BC,BC,Late Predynastic,Hou,Female,170,169,124,131,111,115,88,93,62,47,21,106,65,F,1175
19,,,BC,BC,Late Predynastic,Hou,Female,174,174,128,134,115,122,95,90,67,46,22,95,72,A B,1270
19,,,BC,BC,Late Predynastic,Hou,Female,165,165,121,131,115,,87,92,59,45,25,106,65,F,1110
19,,,BC,BC,Late Predynastic,Hou,Female,177,177,130,134,116,,93,98,68,47,29,105,64.5,D E,1310
19,,,BC,BC,Late Predynastic,Hou,Female,186,186,135,135,117,131,97,104,69,48,26,107,64,F,1440
19,,,BC,BC,Late Predynastic,Hou,Female,185,185,130,132,109,,,,,,,,,,1350
19,,,BC,BC,Late Predynastic,Hou,Female,184,184,139,144,116,122,102,98,67,50,26,96,73,B C,1570
19,,,BC,BC,Late Predynastic,Hou,Female,174,173,135,125,111,124,101,98,68,48,26,97,72,B C,1250
