Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,176,174,130,146,122,134,95,91,65,49,28,96,72.5,B C,1420
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,174,172,126,135,116,126,99,92,80,54.5,22,93,70,A,1260
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,183,180,127.5,134,118,126,98,95,76,54.5,24,97,69,A B,1325
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,181,180,133,129,115,125,103,95,70,56,26.5,92,75,A,1325
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,186,185,138,128,112,129,106,92,69,52.5,24,87,81,- A,1400
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,189,188,132,138,123,129,105,104,79,56,29,99,68,B C,1465
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,173,168,133,140,121,135,102,94,71,53,26,92,74.5,A,1370
17,-331,,BC,Unknown or AD,Roman Period,Abydos,Male,172,171,139,137,124,133,102,95,69,52,25,93,74.5,A B,1390
17,,,BC,BC,Early Predynastic,Abydos,Female,175,175,123,133,112,125,93,96,74,53,25,103,65,D,1220
17,,,BC,BC,Early Predynastic,Abydos,Female,176,176,126,127,106,121,97,96,72,49,23,99,69,C,1200
17,,,BC,BC,Early Predynastic,Abydos,Female,175,175,126,130,106,112,90,94,68,45,27,104,65,D,1220
17,,,BC,BC,Early Predynastic,Abydos,Female,177,177,124,130,106,118,94,89,65,46,25,95,73.5,B,1215
17,,,BC,BC,Early Predynastic,Abydos,Female,176,175,124,123,108,117,96,89,67,47,23,93,74,A B,1140
17,,,BC,BC,Early Predynastic,Abydos,Female,183,183,132,137,109,118,110,95,68,49,25,86,83,- A,1410
17,,,BC,BC,Early Predynastic,Abydos,Female,175,174,,114,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,Abydos,Female,181,179,136,127,108,116,106,101,71,50,25,95,73.5,B,1330
17,,,BC,BC,Early Predynastic,Abydos,Female,181,181,128,133,113,117,98,98,64,44,23,100,70.5,D,1310
17,,,BC,BC,Early Predynastic,Abydos,Female,178,178,,119,95,110,,,68,49,25,,,,
17,,,BC,BC,Early Predynastic,Abydos,Female,169,167,126,120,105,112,94,88?,66,48,23,94,73?,,1090
17,,,BC,BC,Early Predynastic,Abydos,Female,176,176,119,134,109,115,89,86,55?,41,23,97,74?,,1190
17,,,BC,BC,Early Predynastic,Abydos,Female,181,180,136,124,109,122,101,94,70,49,22,93,74,A B,1300
17,,,BC,BC,Early Predynastic,Abydos,Female,169,168,128,114,100,108,96,90,61,46,19,94,76,B,1050
17,,,BC,BC,Early Predynastic,Abydos,Female,176,176,124,128,108,117,98,96,68?,48,22,98,71?,,1190
17,,,BC,BC,Early Predynastic,Abydos,Female,178,175,136,128,108,,101,99,72,,,98,70,C,1320
17,,,BC,BC,Early Predynastic,Abydos,Female,181,181,,137,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,Abydos,Female,184,183,,117,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,Abydos,Female,,,,132,110,117,103,99,65,48,25,96,74,B C,
17,,,BC,BC,Early Predynastic,Abydos,Female,180,180,,126,106,113,,,,,,,,,
17,,,BC,BC,Early Predynastic,Abydos,Female,186,185,,126,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,Abydos,Female,181,181,121,134,111,116,90,90,67,46,22,100,68,C,1250
17,,,BC,BC,Early Predynastic,Abydos,Female,180,180,134,125,105,111,,,,,,,,,1280
17,,,BC,BC,Early Predynastic,Abydos,Female,179,179,134,125,107,121,100,98,65,47,23,98,72,C D,1275
17,,,BC,BC,Early Predynastic,Abydos,Female,180,180,134,122,,,,,,,,,,,1250
17,,,BC,BC,Early Predynastic,Abydos,Female,178,178,130,137,119,131,94,93,67,49,24,99,69,C,1350
17,,,BC,BC,Early Predynastic,Abydos,Female,187,186,,127,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,El Amrah,Female,184,184,,138,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,El Amrah,Female,191?,,,131,,,,,,,,,,,
17,,,BC,BC,Early Predynastic,El Amrah,Female,185,186,126,127,112,,97,93?,62?,49,26,96,74?,,1250
17,,,BC,BC,Early Predynastic,El Amrah,Female,180,179,,132,,,,,71?,50?,,,,,
17,,,BC,BC,Early Predynastic,El Amrah,Female,184,185,131,125,,,103,104,67,44,24,101,70,D E,1280
17,,,BC,BC,Early Predynastic,El Amrah,Female,175,174,137,118,,109,99,95,65,51,23,96,73.5,B C,1200
17,,,BC,BC,Early Predynastic,El Amrah,Female,184.5,184.5,127,126.5,,,,,,,,,,,1260
17,,,BC,BC,Early Predynastic,El Amrah,Female,192,191,132,131,,119,102.5,102,70,,,99.5,70,C D,1410
