Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,178.5,178.5,131,124,109,114,101,93,63?,50,26,92,77.5?,,1230
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,176,176,127,125,110,117,104,93,69.5,55,22,89,78,- A,1190
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,166,166,124,124,107.5,115,95,89,64,47,24,94,74,A B,1085
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,183,183,128,132,117,122,98,95.5,65,48,26.5,98,72,C D,1315
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,174,173,131,125.5,119,128,95,93.5,68,48,25.5,98,70,C,1210
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,189,189,127,133,109,120,95.5,96,64,46,25,101,69.5,D E,1360
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,174,174,118,135,112,118,91,86,71,53,23,95,70,A,1180
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,176,175,130,131,112,116,95,86,69,49,25,90,74,- A,1275
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,180,180,126,134,112,124,95,88,73,49.5,23,93,71,A,1295
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,178,177,130,135,115,124,97,91,71,51,21,94,72,A,1325
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,166,166,131,127,108,117,95,95,61,46,25,100,70.5,D,1175
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,176,175,127,130,116,120,95,91,68,50,25,96,71,B,1235
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,174,174,127,127,110,116,94,85,63,44,21,91,77,A,1195
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,167,167,125,133,115,122,92,91,71,49,26,99,67.5,B,1180
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,175,174,131,132,118.5,126,99,90,62,47,24,91,78,A,1285
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,170,168,116,131,115,122,96,87,69,52,25,91,74.5,A,1100
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,170,170,126,127,106,109,91,88,59,41,24,97,72.5,C,1155
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,173,172,128,133,117,122,97,90,58,44,26,93,78,B,1250
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,172,172,133,127,112,121,101,97,66,49,25,96,73,B C,1235
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,179,179,131,131,105,116,104,105,65,49,27,101,71,E,1305
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,179,179,129,135,112,122,99,93,,,,94?,,,1325
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,171,171,,134,116,118,,,,45.5,23,,,,
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,173,172,128,133,116,120,99,95.5,66,46,25,97,73,C,1250
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,171,171,132,126,105,112.5,99,92,63,48,24,93,76.5,B,1210
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,177,177,120,129,105,115,93,90,65,47,26,97,71,B C,1165
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,169,169,126,128,108,117?,96,85,58,47,24.5,89,81.5,A,1160
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,181,181,124,137,120,127,94,88,62,44,20,94,74.5,A B,1310
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,171,171,125,143,116,125,92,87,63,46,26,95,73,B,1300
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,173,173,128,145,111,,87,80,73,52,26,92,69,- A,1365
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,175,174,125,128,110,116,96,92,71,47,22,96,70.5,B,1190
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,176,176,127,131,117,124,92,90,62,43,23.5,98,71,C,1245
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,180,180,119,128,113.5,121,96,93,68,46,27,97,71,B C,1165
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,178,178,131,131,110,116,100,101,65.5,46,26,101,69,D E,1300
32,-331,,BC,Unknown or AD,Roman Period,Denderah,Female,170,169,116,128,112.5,118,94,94,65,50,22,100,69,C,1075
