Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
21,,,BC,BC,Late Predynastic,Hou,Female,176,176,130,127,109,118,100,94,66,46,24,94,74,A B,1235
21,,,BC,BC,Late Predynastic,Hou,Female,175,175,125,130,,,94,93,62,44,25,99,71,D,1210
21,,,BC,BC,Late Predynastic,Hou,Female,179,179,119,,,,95,90,66,45,23,95,72.5,A B,
21,,,BC,BC,Late Predynastic,Hou,Female,172,171,123,136,115,122,93,93,68,49,25,100,68,C,1220
21,,,BC,BC,Late Predynastic,Hou,Female,173,173,128,127,111,121,96,98,67,47,24,102,68,D E,1195
21,,,BC,BC,Late Predynastic,Hou,Female,176,176,126,134,117,123,102,98,73,54,21,96,71,B,1265
21,,,BC,BC,Late Predynastic,Hou,Female,180,180,126,124,,,,,,,,,,,1195
21,,,BC,BC,Late Predynastic,Hou,Female,176,176,126,131,112,119,91,90,66,46,26,99,69,C,1235
21,,,BC,BC,Late Predynastic,Hou,Female,175,175,127,128,108,118,94,92,68,48,29,98,69.5,B C,1210
21,,,BC,BC,Late Predynastic,Hou,Female,178,177,129,128,115,121,101,104,66,47,24,103,68,E F,1250
21,,,BC,BC,Late Predynastic,Hou,Female,182,182,131,,,,,,,,,,,,
21,-4800,-4500,BC,BC,First Dynasty,Abydos,Female,179,179,131,134,113,116,95,90,72,47,25,95,70.5,A,1335
21,-4800,-4500,BC,BC,First Dynasty,Abydos,Female,174,172,126,128,108,119,91,91,65,46,21,100,68.5,C,1195
21,-4800,-4500,BC,BC,First Dynasty,Abydos,Female,182,181,126,139,108,120,94,89,65,45,27,95,73,B,1355
21,-4800,-4500,BC,BC,First Dynasty,Abydos,Female,178,178,135,136,113,121?,101,94,67,51,24,93,75,A B,1390
21,-4800,-4500,BC,BC,First Dynasty,Abydos,Female,180,180,122,125,110,119,96,96,66,47,25,100,69,C,1170
