Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,175,133,139,116,124,101,91?,71,51,25,90,76?,,1385
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,170,121,136,111,119,92,87,67,49,21,95,72,A B,1210
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,161,161,124,114,99,112,95,97,61,44,24,102,69.5,E,965
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173,173,122,132,113,120,95,94,67,49,25,99,69,C,1185
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173,172,129,133,114,119,91,93,67,43.5,24,102,67,D E,1265
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,175,133,130,114,123,101,95,69,49.5,26,94,73.5,A B,1285
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,181,180,136,,107,116,96,92,64,46,26,96,73,B C,
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,171,123,138,119,130,97,91,68,51.5,24,94,73,A,1245
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,177,130,133,112,118,94,90,66,47,26,96,72,B C,1300
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,180,130,140,119,125,95,91,72,53,25,96,70,A B,1395
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,176,132,135,111,116,98,89,66.5,49,26,91,76.5,A,1345
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,170,126,131,105,,96,94,65.5,50,24,98,71,C,1205
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,174,123,130,114,119,99,94,65,51,26,95,74,B,1185
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,132,133.5,112,119,99,99,69,48,23,100,69,C,1285
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,176,125,122,106,,95,99,67,49,25.5,104,66.5,E,1150
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,178,178,127,129,,,95,93,67?,46,27,98,70,,1240
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,170,170,132,132,106,111,94.5,87,66,47,23,92,74.5,A,1260
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,175,,130,,,,,,,,,,,
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,174,122,131,109?,,93,91,64?,46,,98,71?,,1185
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,185,185,131,130.5,111,115?,99,90.5,65,48,24,91,77,A,1340
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,167,167,126,129,106,114,91,84?,67,48,24,93,,,1155
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,169,168,130,129,114,120,94,84,64,51,25,89,77,- A,1205
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,171,132,137,109,113,95,93,71,48.5,25,98,69,B C,1325
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,178,132,132.5,110,122,100,96,65,47,26,96,73.5,B C,1335
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,173,127,129,101,109,96,86?,61?,50,24,90,79.5,,1215
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,169,169,126.5,127,111,,,,,,,,,,1150
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,178.5,178,134,134,111,120,98,97,65,48,26,99,72,D,1360
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,181,181,127,130,108,111,98,93,66,48,24.5,95,73.5,B,1270
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,161,161,127,129,105,109,92,88,62,58,21,96,73,B C,1120
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,174,127,128,106,115,99,99,64,47.5,25,100,70.5,D,1205
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,173,137,127,105,111,98,93,67,51,24,95,73,B,1290
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,183,183,135,140,112,120,100,99,73,54,25,99,69,C,1470
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,174,128,132,109,113,90.5,89,65,49,25,98,70,C,1250
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,184,184,139,136,118,125,99,94?,71?,55,26,95,72?,,1480
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,165,162.5,133,136,105,113,97,95.5,63,50,23,99,72,D,1270
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,184,184,127,136,,,,,,,,,,,1350
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173,173,131,132,111,118,94,96,68,50,25,102,67.5,D E,1275
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,182,182,133,142,118,123.5,99,95,68,49,26,96,72?,B C,1460
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,181,180,130,133,110,119,103,106.5,72?,52,26.5,103,73.5,,1330
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,174,127,128,105,115,95,89,66,49,24,94,73.5,A B,1205
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,118.5,117.5,102,114,101,102,64,45,23,101,70,D E,1010
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,179,178,136,128,,,105,99,67.5,53,25.5,94,75,B,1320
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,188,188,128,126,113,121,102,89,66?,47.5,27,87,80.5,,1290
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,167,166,123,127,112,120,96,91,69,51.5,26    ,95,72,A B,1110
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172.5,172.5,130,120,109,,109,91?,65,50.5,26,84,87,- A,1140
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,126,128,109,118?,94,90.5,67,49,26,96,71,B,1205
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,130,131,101,115,97,93,64.5,46,26,96,73,B C,1245
24,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175.5,175.5,132,124,108,120,100,95,68,47.5,29,95,73,B,1215
