Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,171,171,134,136,109,,95,92,,45,26,97,,,1325
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,173,172,136,139,108,,94,87,,49,24,93,,,1390
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,168,167,133,131,110,,92,84?,,47,23,91,,,1245
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,176,175,135,131,109,,99,,,,,,,,1325
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,179,179,131,140,106,,98,92,,54,27,94,,,1395
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,170,164,,133,108,,,,,50,22,,,,
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,192,187,,137,,,,,,55,,,,,
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,178,180,134,133,109,,,,,,,,,,1365
23,-3700,-3500,BC,BC,Fifth Dynasty,Deshasheh,Female,178,175,139,138,117,,99,87,,52,25,88,,,1450
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,175,131,130,112,118,99,93,68,46,25,94,74,A B,1275
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,179,125,128,101,114,96,90,57,50,30,94,77.5,B C,1225
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,169,168,129,130,111,120,93,97,59,57,26,104,68,F,1205
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,168,168,130,130,113,121,94,97,70,47,25,103,66,D E,1210
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,170,134,140,113,120,94,92,62,45,27,98,72,C D,1365
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,178,176,140,127,110,123,105,92,68,52,22,88,80,- A,1345
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,135,126,107,112,96,91,75,56,25,95,70,A,1245
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,161,161,125,126,108,116,88,85,63,47,23,97,70.5,B C,1080
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,130,127,,,97,89,55,41,20,92,80.5,A B,1210
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,174,131,132,117,122,97,85?,65,46,27,,79,,1285
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173,172,126,,106,113,97,103,64,47,24,106,66,G,1250
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,170,169,126,122,105,113,96,91,61,43,21,95,75,B C,1110
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,171,129,127,,,95,90,55,43,21,95,,77.5,1195
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,171,134,135,105,,93,,,,,,,,1325
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,137,132,114,120,96,88,67,50,23,92,75,A,1355
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,132,131,110,117,97,91,57,45,20,94,78,B C,1295
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,179,177,135,132,119,,105,97,71,53,23,92,76,A,1355
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,173,131,138,108,119,91,93,67,49,26,102,67,D,1345
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,174,134,135,115,118,94,89,62,46,24,95,74,B,1345
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,133,132,106,,99,,,,,,,,1315
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,125,121,105,,92,83,59,43,26,90,78.5,A,1105
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,170,169,121,122,106,110?,91,87,,44,27,96,,,1065
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,123,125,,,91,91,61,43?,26,100,70,C D,1115
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,185,184,134,132,119,123,105,94,73,52,27,90,76.5,- A,1390
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,167,167,126,126,106,114,91,91,64,47,23,100,69,C,1130
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,178,176,126,141,110,115,96,91,67,52,26,95,72.5,A B,1345
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,175,127,133,98,,97,97,68,47,24,100,69,C,1255
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,168,167,130,130,108,111,94,90,68,59,25,96,71,B,1205
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,176,,126,108,,,,64,50,25,,,,
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,170,170,119,122,114,121,96,92?,64,50,26,,73,,1050
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173,173,115?,131,102,115,91?,91,66,45,24,100,68.5?,,1110
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,179,125.5,138,113,122,93,93,66,47,23,100,69,C,1330
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,181,181,137,127,110,120,100,98,67,47,25,98,71,C,1340
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,179,177,131,135,111,118,98,101,71,47,23,103,67,E,1350
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,169,168,127,129,99,107,93,92,65,47,24,99,70,C D,1180
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,176,125,121,,114,95,93,66,51,25,98,71,C,1140
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,175,124,130,108,,96,,,,,,,,1200
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,178,178,125,130,104,111,98,95,68,51,27,97,71,B C,1230
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,188,185,140,133,112,121,106,94,69,52,26,89,79,- A,1490
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,169,168,130,130,107,116,96,95,69,47,26,99,69,C,1215
23,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,130,132,114,121,99,99,62,46,29,100,71,D E,1285
