Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,173,128,130,115.5,127,96,91,67,50,24,95,72.5,A B,1230
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,165,165,132,129.5,110.5,115,96,82,66.5,51.5,26,85,80,- A,1195
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,177,130,129.5,102,108,95,90,68,50,24,95,72,A B,1265
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,181,181,126,131,114,124,100,94,74,49,25,94,71.5,A,1270
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173.5,173,131,124,111,122,101,95,69,51,24,94,73.5,A B,1195
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,180,136,128,118,121,101,91,64.5,46.5,28,90,78,A,1335
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,136.5,140,107,117,92,80?,55?,45,21,,83?,,1385
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,177,128,131.5,108,117,95,90,68,50,25,95,72,A B,1260
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,133.5,130,102.5,114,90.5,93,66,47,24,103,67,E,1295
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,180,180,137,137,110,115,99,101,66,51,25,102,69,E,1435
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,166,165,123,132.5,106,113.5,94,85,60?,44.5,21,90,77?,,1145
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,129,136,113,122,96,95,70,50,25,99,69,C,1315
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,183,182,132,134,131,,97,94,70,49,27,97,70.5,B C,1375
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,184,184,131,137,110,117,95,89,59,43,21.5,94,76,B,1405
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,174,174,128,127,109,,95,90,69.5,51,22,95,71.5,A B,1205
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,175,121,140,116,118.5,95,90,72,55,26,95,70,A,1260
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,191,191,133.5,106,110,124,101,92,70,50,26,,,,1145
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,175,134,135,109.5,116,100,94.5,67.5,50,27,95,74,B,1355
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,138,133,108,118,98,87,63,44,23,89,80,- A,1375
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,179,178,126,126,106,118,97,95.5,71,49,23,99,69,C,1210
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,133,135,108,115,92,93,70,48,27,101,67,C D,1315
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,177,135.5,127.5,113,124,94,90,67,49,23,95,71.5,A B,1290
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,129,128,107,114,94,89,64,47,26,95,73,B,1200
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,173,173,130,130,105,112,93,93,71,47.5,27,100,67,B C,1245
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,165,165,124,127,106,110.5,93,89,66,49,23,96,71.5,B,1105
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,131,129,113,,98,92,67,50.5,23,94,74,A B,1265
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,178,177.5,130,138,107,120,94,89,67,47,26,95,72,A B,1360
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,182,182,135,131,111,117,97,95,64,44.5,28,98,71.5,C D,1370
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,128,126,108,111,95,91,66,48,24,96,72,B C,1175
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,177,176,129,133,109,116,93,92,67,46,23,99,69,C,1290
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,181,181,134,141,118,125,101,97,70,50,26,96,72,B C,1455
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,170,126,130,115,121,95,92,74,52,26,97,68.5,A B,1200
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,176,176,128,125,103,115,95,93,69,49,24,98,69.5,B C,1200
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,167,167,133,131,106,117.5,97,94,66,43,27.5,97,72,B C,1240
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,175,125,125,111,116,98,97.5,60,44,24.5,99,72,D,1160
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,125,129,111,119,91,92,67,49,23.5,101,67.5,C D,1175
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,172,172,130,123,106,,93,92,70.5,48,26,99,68,B C,1170
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171.5,171.5,122,136,113,,93,91.5,63,46,25.5,98,71,C,1210
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,121,128,108,120?,95,89,67.5,49,31,94,73,A,1125
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,174,126,134,110,117,92,91,67.5,47,25,98,69,B C,1260
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175,174,135.5,129,110,118,101,94,67,49,25,93,75,A B,1300
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,185,184,127,126,114,119??,99,94,72,53.5,27,95,71.5,A B,1260
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,130,125,104,118,100,95,71,51,28,95,72,A B,1180
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,179,179,131,124,,,,,,,,,,,1240
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,171,119,123,,,,,,,,,,,1065
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,175.5,175.5,136.5,129,103,115,102,102.5,75,48,25,101,68,D,1305
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,184,183,134,137,107,119,92.5,92,70,,,100,68,C,1440
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,182,182,135,138,113,123,101,101,67,49,26,100,70,C D,1440
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,169,169,135,123,110,116.5,98,88?,,45,25,90,,,1190
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,171,169,136,137,107,116,94,86?,,49,24,92,,,1355
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,184,184,127,118,107,112,94,87,68,47,23,93,73.5,A,1175
25,-3500,-2780,BC,BC,Sixth to Twelfth Dynasties,Denderah,Female,167,167,126,132,,,,,,,,,,,1180
